State,Sanction Year,NQM I.C.,NQM_Grade,Status,Road_Length,District,Block,Road_name,Monitor Name,Inspection Date,Package,Start Chainage,End Chainage,Quality Arrangment,Attention To Quality,,Geometrics,Base Course-Water Bound Macadam,,,Cross Drainage Works,,Road Furnitures And Markings,,,Maintenance,Shoulders,pavement
Tamil Nadu,2015-2016,1,Unsatisfactory,In Progress,5.4,Ariyalur,Andimadam,L060-Silambur to Thirukonam road (VR2180),Dange Pradeep Bhaskar rao,24-09-2016,TN3090,1,4,1,1,,1,0,,,1,,1,,,2,2,2
Tamil Nadu,2016-2017,2,Unsatisfactory,Maintenance,5.52,Ariyalur,Ariyalur,poyyathanallur - illupaiyur,Sharma Deputy Lal,26-08-2018,TN1165,0,5.5,2,2,,2,2,,,2,,2,,,0,0,1
Tamil Nadu,2015-2016,1,Unsatisfactory,In Progress,1.325,Ariyalur,Ariyalur,L073-AS road to Ameenabath road (VR2041),Dange Pradeep Bhaskar rao,23-09-2016,TN3082,0,1.325,1,1,,1,0,,,1,,1,,,2,2,2
Tamil Nadu,2015-2016,1,Unsatisfactory,Maintenance,1.25,Ariyalur,Ariyalur,L063-AA road to Kayarlabad road (VR2066),Suresh Chandra Sharma,14-12-2018,TN3083,0,1.25,2,2,,2,2,,,2,,2,,,0,0,1
Tamil Nadu,2014-2015,1,Unsatisfactory,Maintenance,1.125,Ariyalur,Ariyalur,L047-Karuppur Poiyyur - Oriyur - Nanangur road to Puthur road (VR2067),Suresh Chandra Sharma,14-12-2018,TN3086,0,1.125,2,2,,2,2,,,2,,2,,,0,0,0
Tamil Nadu,2016-2017,2,Unsatisfactory,Maintenance,1,Ariyalur,Jayamkondam,Meensurity - Kuttakkarai,Sharma Deputy Lal,26-04-2018,TN1166,0,1,2,2,,2,2,,,2,,2,,,1,2,1
Tamil Nadu,2014-2015,1,Satisfactory,Maintenance,3,Ariyalur,Jayamkondam,"	
MRL12-Meikavalputhur-Veeracholapuram (via) Mendevanallur road",Prakash Anugrah,16-09-2018,TN30105,0,3,1,1,,1,2,,,2,,1,,,2,2,2
